Node,Depth,Value,Alpha,Beta
C5,1,8,-2,8
A3,2,10,-2,8
C5,1,8,-2,8
B3,2,-10,-2,8
C5,1,-10,-2,8
root,0,-2,-2,Infinity
D5,1,Infinity,-2,Infinity
A1,2,16,-2,Infinity
D5,1,16,-2,16
B1,2,20,-2,16
D5,1,16,-2,16
E1,2,6,-2,16
D5,1,6,-2,6
A2,2,16,-2,6
D5,1,6,-2,6
B2,2,24,-2,6
D5,1,6,-2,6
A3,2,8,-2,6
D5,1,6,-2,6
B3,2,-12,-2,6
D5,1,-12,-2,6
root,0,-2,-2,Infinity
E5,1,Infinity,-2,Infinity
A1,2,5,-2,Infinity
E5,1,5,-2,5
B1,2,9,-2,5
E5,1,5,-2,5
E1,2,-5,-2,5
E5,1,-5,-2,5
root,0,-2,-2,Infinity
